tract,region,n_lsRestaurants,n_subway,n_mcdonalds,state_fips,county_fips,unique_tract,total_population_estimate,median_age_total,median_age_male,median_age_female,unknown_race,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_races_including_some_other_race,two_races_excluding_some_other_race_and_three_or_more_races,commute_unkown,commute_less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,annual_income_unknown,annual_income_less_than_$10_000,annual_income_$10_000_to_$14_999,annual_income_$15_000_to_$19_999,annual_income_$20_000_to_$24_999,annual_income_$25_000_to_$29_999,annual_income_$30_000_to_$34_999,annual_income_$35_000_to_$39_999,annual_income_$40_000_to_$44_999,annual_income_$45_000_to_$49_999,annual_income_$50_000_to_$59_999,annual_income_$60_000_to_$74_999,annual_income_$75_000_to_$99_999,annual_income_$100_000_to_$124_999,annual_income_$125_000_to_$149_999,annual_income_$150_000_to_$199_999,annual_income_$200_000_or_more,tract,region,count_new_bus_past_year,total_businesses,average_visitors,new_business_proportion,n_lsRestaurants,n_subway,n_mcdonalds,tract,count_bigger_places_by_tract,region,n_lsRestaurants,n_subway,n_mcdonalds,count_bigger_places_by_tract_2
08001007802,CO,3,0,1,08,001,08001007802,4389,34.466667,33.433334,32.1,4389,1305,999,62,295,0,1511,217,174,43,2063,17,46,165,466,422,68,329,19,168,213,66,84,923,113,55,85,113,43,64,51,89,56,25,111,75,11,0,15,17,08001007802,CO,3,7059,37.22283609576427,0.00042498937526561835,3,0,1,08001007802,0,CO,3,0,1,0
08001007900,CO,2,0,0,08,001,08001007900,5627,30.7,32.4,28.125,5627,3032,818,82,126,0,1228,341,95,246,2781,20,131,199,483,583,201,380,101,183,225,168,107,1114,42,8,34,55,69,121,18,105,72,96,169,211,94,0,10,10,08001007900,CO,29,8728,17.919798350137487,0.0033226397800183317,2,0,0,08001007900,0,CO,2,0,0,0
08001008000,CO,1,0,0,08,001,08001008000,5818,33.5,30.933332,34.566666,5818,3596,643,132,373,0,754,320,80,240,2783,55,122,187,379,448,175,279,85,244,372,336,101,1195,50,34,22,74,100,111,6,53,23,227,164,222,29,47,17,16,null,null,null,null,null,null,null,null,null,08001008000,0,CO,1,0,0,0
08001008308,CO,7,0,1,08,001,08001008308,5648,34.1,32.2,35.433334,5648,3030,873,64,567,0,1043,71,30,41,2324,0,116,269,466,424,159,412,28,143,174,113,20,1260,91,38,43,52,93,132,62,129,86,88,161,90,94,45,18,38,08001008308,CO,5,14695,54.61442667574005,0.0003402517863218782,7,0,1,08001008308,0,CO,7,0,1,0
08001008309,CO,14,0,1,08,001,08001008309,4251,26.633333,28.933332,25.266666,4251,2324,554,0,62,59,1243,9,9,0,1742,22,115,171,380,347,100,196,94,38,164,115,0,975,4,24,51,82,129,32,38,35,32,114,241,90,47,15,36,5,08001008309,CO,25,27203,58.03087894717494,0.0009190162849685696,14,0,1,08001008309,1,CO,14,0,1,1
08001008353,CO,1,0,0,08,001,08001008353,8538,36.7,null,null,8538,5420,1197,62,504,0,836,519,125,394,4603,0,100,402,1073,407,387,781,293,165,631,204,160,1782,24,58,44,30,80,86,37,59,7,100,141,455,281,113,144,123,08001008353,CO,10,14234,44.78635661093157,0.000702543206407194,1,0,0,08001008353,1,CO,1,0,0,1
08001008401,CO,5,1,1,08,001,08001008401,4978,38.15,38.25,37.75,4978,4651,27,39,29,0,39,193,0,193,2364,81,149,81,130,389,93,479,156,116,431,208,51,1297,12,30,70,5,18,9,62,43,69,149,121,175,217,70,103,144,08001008401,CO,6,8430,67.18920521945434,0.0007117437722419929,5,1,1,08001008401,2,CO,5,1,1,2
08001008402,CO,1,1,0,08,001,08001008402,5141,37.25,40.15,35.8,5141,4903,9,4,0,0,28,197,0,197,2375,26,152,184,107,104,83,331,228,107,575,399,79,1421,0,0,7,11,10,39,28,73,77,167,85,333,294,98,115,84,08001008402,CO,2,4213,21.182767624020887,0.00047472110135295516,1,1,0,08001008402,0,CO,1,1,0,0
08001008505,CO,1,0,0,08,001,08001008505,7266,38.266666,38.116665,38.75,7266,6611,14,46,0,0,340,255,105,150,3228,0,144,200,403,474,270,846,211,51,353,276,0,1529,0,63,0,14,52,51,117,11,24,221,136,379,126,240,86,9,08001008505,CO,2,7594,19.40334474585199,0.0002633658151171978,1,0,0,08001008505,0,CO,1,0,0,0
08001008506,CO,3,0,0,08,001,08001008506,6775,45.1,46.425,41.05,6775,5934,240,82,177,84,54,204,66,138,3498,134,113,308,594,402,75,716,102,277,277,362,138,1412,14,50,83,75,64,30,40,163,151,136,128,241,185,43,9,0,08001008506,CO,11,12769,48.11065862636072,0.0008614613517111755,3,0,0,08001008506,0,CO,3,0,0,0
