placekey,location_name,brand_id,latitude,longitude,tract,county,city
222-222@3x4-qbc-9cq,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,48.676598,-116.333234,16021970200,16021,Bonners Ferry
222-222@5q6-762-z2k,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.999458,-105.255144,08013012511,08013,Boulder
222-222@5q6-78b-h5z,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.019303,-105.257953,08013012203,08013,Boulder
222-222@5q6-796-nyv,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.884715,-105.021464,08001009321,08001,Federal Heights
222-222@5q6-79n-mzf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.82923,-105.024435,08001009501,08001,Westminster
222-222@5q6-7cv-bhq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.92356,-105.091318,08014031200,08014,Broomfield
222-222@5q7-6m2-575,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.575039,-105.099991,08069000503,08069,Fort Collins
222-222@5q8-tyb-wx5,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,37.170491,-104.509719,08071000200,08071,Trinidad
222-222@5q9-6pn-cnq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.380035,-104.866364,08035014403,08035,Castle Rock
222-222@5q9-bg4-q9f,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.765774,-104.902015,08031004107,08031,Denver
222-222@5qc-w6w-cnq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.609837,-111.940678,49035112907,49035,West Jordan
222-222@5qc-wpd-52k,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.733905,-111.938276,49035102802,49035,Salt Lake City
222-222@5qc-x2b-kxq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.387785,-111.836194,49049000103,49049,Lehi
222-222@5qd-2gz-s89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,41.186955,-111.985735,49057210511,49057,Riverdale
